date,confirmed
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,8.31331210667642e-06
2020-02-01,8.31331210667642e-06
2020-02-02,8.31331210667642e-06
2020-02-03,8.31331210667642e-06
2020-02-04,8.31331210667642e-06
2020-02-05,8.31331210667642e-06
2020-02-06,8.31331210667642e-06
2020-02-07,1.246996816001463e-05
2020-02-08,1.246996816001463e-05
2020-02-09,1.246996816001463e-05
2020-02-10,1.246996816001463e-05
2020-02-11,1.246996816001463e-05
2020-02-12,1.246996816001463e-05
2020-02-13,1.246996816001463e-05
2020-02-14,1.246996816001463e-05
2020-02-15,1.246996816001463e-05
2020-02-16,1.246996816001463e-05
2020-02-17,1.246996816001463e-05
2020-02-18,1.246996816001463e-05
2020-02-19,1.246996816001463e-05
2020-02-20,1.246996816001463e-05
2020-02-21,8.31331210667642e-05
2020-02-22,0.00025771267530696904
2020-02-23,0.0006442816882674226
2020-02-24,0.0009518742362144501
2020-02-25,0.0013384432491749037
2020-02-26,0.0018829651921622092
2020-02-27,0.0027226097149365275
2020-02-28,0.0036911105753643304
2020-02-29,0.004688708028165501
2020-03-01,0.007041375354354928
2020-03-02,0.008462951724596596
2020-03-03,0.010399953445452201
2020-03-04,0.012839910548761732
2020-03-05,0.016036379053778815
2020-03-06,0.01927025746327594
2020-03-07,0.02445360756178869
2020-03-08,0.0306553383933693
2020-03-09,0.03812484932121806
2020-03-10,0.042185902285329493
2020-03-11,0.05180024773670078
2020-03-12,0.06281954293410037
2020-03-13,0.0734065459019528
2020-03-14,0.08794237212047651
2020-03-15,0.10286476735196069
2020-03-16,0.11630323637240313
2020-03-17,0.13095960561647366
2020-03-18,0.1484466576328675
2020-03-19,0.17056838114873346
2020-03-20,0.19545012428401598
2020-03-21,0.22270531802575463
2020-03-22,0.24581632568231507
2020-03-23,0.2657225515217518
2020-03-24,0.28754083914572404
2020-03-25,0.3091970171836161
2020-03-26,0.334980754682473
2020-03-27,0.3595424353016485
2020-03-28,0.38437429856429095
2020-03-29,0.40605957319455643
2020-03-30,0.42289403021057614
2020-03-31,0.4397409571947559
2020-04-01,0.45961808644181923
2020-04-02,0.47902135689880204
2020-04-03,0.4980796249033577
2020-04-04,0.5180523572396478
2020-04-05,0.5359924847658555
2020-04-06,0.5509522899018198
2020-04-07,0.5635843676479145
2020-04-08,0.5795293002685199
2020-04-09,0.5970038823167537
2020-04-10,0.613426830383493
2020-04-11,0.6329381738978626
2020-04-12,0.6499472104681225
2020-04-13,0.663053147004298
2020-04-14,0.6754067287948191
2020-04-15,0.6864925304890721
2020-04-16,0.7022296303070106
2020-04-17,0.7167488299013209
2020-04-18,0.7312597161835246
2020-04-19,0.7439250471780462
2020-04-20,0.7533024632343771
2020-04-21,0.7646459776039372
2020-04-22,0.7786539085036869
2020-04-23,0.7896524204208198
2020-04-24,0.8022096783579545
2020-04-25,0.8120069166756727
2020-04-26,0.8216669853436307
2020-04-27,0.8288954102203858
2020-04-28,0.837586978027916
2020-04-29,0.8462577625551796
2020-04-30,0.8540390226870287
2020-05-01,0.8622068518318382
2020-05-02,0.8701044983331808
2020-05-03,0.8758780935912677
2020-05-04,0.8809533706323935
2020-05-05,0.8854217758897321
2020-05-06,0.8914239872307526
2020-05-07,0.8972474623614793
2020-05-08,0.9027633449442591
2020-05-09,0.9072650034500245
2020-05-10,0.9105986416048018
2020-05-11,0.9136911937084853
2020-05-12,0.9195188254952655
2020-05-13,0.9232099360706298
2020-05-14,0.9273333388755414
2020-05-15,0.9306129405016252
2020-05-16,0.9342500145482961
2020-05-17,0.9370557573842994
2020-05-18,0.9389304092643549
2020-05-19,0.9423097706357189
2020-05-20,0.9450739469111888
2020-05-21,0.947742520097432
2020-05-22,0.9504526598442085
2020-05-23,0.9532334627438918
2020-05-24,0.9554406471082143
2020-05-25,0.9566876439242158
2020-05-26,0.958337836377391
2020-05-27,0.9607653235125405
2020-05-28,0.9632302205521701
2020-05-29,0.9653750550756927
2020-05-30,0.9671042239938813
2020-05-31,0.968488390459643
2020-06-01,0.9693197216703106
2020-06-02,0.9706415382952721
2020-06-03,0.9719758248883937
2020-06-04,0.9727115530098346
2020-06-05,0.9748647008454637
2020-06-06,0.9759869979798651
2020-06-07,0.9768058592223727
2020-06-08,0.9779697229173074
2020-06-09,0.9791460565804021
2020-06-10,0.9799857011031764
2020-06-11,0.9815610737473917
2020-06-12,0.9822386086840857
2020-06-13,0.9836768116785408
2020-06-14,0.985081761424569
2020-06-15,0.9863329148966239
2020-06-16,0.9872058126678249
2020-06-17,0.9885691958533198
2020-06-18,0.9899450490069748
2020-06-19,0.9893298639110808
2020-06-20,0.990427221109162
2020-06-21,0.9913583120651098
2020-06-22,0.9922769330528975
2020-06-23,0.9927466351869247
2020-06-24,0.9951450257297009
2020-06-25,0.996375395921489
2020-06-26,0.9974353432150902
2020-06-27,0.9981627580244244
2020-06-28,0.9988860161777053
2020-06-29,0.9994097548404259
2020-06-30,0.9999999999999999
