day,nominal_infections,lower_beta_infections,higher_beta_infections
0,0.01,0.01,0.01
1,0.010635133957369909,0.010569867170923848,0.010700798035219313
2,0.011310107262090445,0.01117180306057593,0.011450104606726597
3,0.012027425292630851,0.011807635895020397,0.012251256451714472
4,0.01278965011296776,0.01247920026481615,0.013107720647347861
5,0.013599512117837574,0.013188450183035058,0.014023203615027867
6,0.014459900694797526,0.013937437064107033,0.015001651466307674
7,0.015373872177548452,0.014728322843801397,0.016047255691388585
8,0.016344656012014683,0.015563377103576179,0.017164473937219055
9,0.017375662532085168,0.01644498891475025,0.018358021875128097
10,0.01847048196966423,0.017375662514730036,0.01963290629851319
11,0.019632906282501757,0.01835802184181972,0.020994433170685944
12,0.020866932356177592,0.019394824744544785,0.022448220206083228
13,0.022176768836022473,0.02048896015196002,0.024000217529270815
14,0.02356685367981323,0.02164345778518212,0.025656695973640665
15,0.025041841572559228,0.022861494519480684,0.02742427546008482
16,0.0266066190001773,0.024146392160324215,0.029309955305626443
17,0.02826632752077494,0.02550161817106622,0.03132111908236432
18,0.030026367987097125,0.026930797086430393,0.03346554235776467
19,0.03189241064467595,0.02843772519831015,0.035751370032004
20,0.03387038445620182,0.030026367951421756,0.038187156384967946
21,0.03596647672168854,0.03170086894313103,0.040781873105758794
22,0.03818715635302009,0.03346554229964859,0.04354491337217073
23,0.04053917840382721,0.03532486708915056,0.04648608095372481
24,0.04302958585623036,0.03728350807058916,0.049615599963013866
25,0.045665702805625145,0.03934631616765164,0.052944105810012215
26,0.048455137203453735,0.04151833089037151,0.05648263440322958
27,0.05140578574459871,0.043804781006168886,0.060242620269406036
28,0.054525813360798106,0.046211075594777495,0.0642358586266307
29,0.05782366677367829,0.04874281473567526,0.06847451087684946
30,0.061308047344621294,0.051405785694510056,0.07297103771942842
31,0.06498790719570467,0.05420594992795849,0.077738201976059
32,0.06887244033451802,0.057149455533002914,0.08278898585356839
33,0.07297103766150709,0.06024262016253389,0.08813656831171021
34,0.07729329988718703,0.06349192206080104,0.09379425277309313
35,0.08184897425064971,0.06690400780418666,0.09977537712057408
36,0.08664794261325516,0.07048565822615857,0.10609325181597498
37,0.0917001923763484,0.07424378973144594,0.11276107296671799
38,0.09701573596500375,0.0781854476534655,0.11979179722479946
39,0.10260459577563183,0.08231775854103561,0.12719804857014297
40,0.10847673594541148,0.08664794253589903,0.13499197084760917
41,0.11464201474362525,0.09118328461998983,0.1431851151965091
42,0.12111009340665918,0.09593108206444223,0.15178826887478292
43,0.12789038911277292,0.10089864537233464,0.16081132193220155
44,0.13499197075323163,0.10609325164410106,0.17026308198150064
45,0.1424234975282662,0.11152212452070365,0.18015111686515992
46,0.15019310311407502,0.11719237608713752,0.19048157076677635
47,0.15830832284935167,0.12311097973704282,0.20125899539666606
48,0.1667759685081413,0.12928471870299313,0.21248615437065224
49,0.17560204465199966,0.13572013728548102,0.22416383137895546
50,0.18479161956233534,0.14242349740816912,0.23629071739064839
51,0.19434873251187718,0.14940070875803863,0.24886321543184736
52,0.20427627574806093,0.15665729183942834,0.26187528594116244
53,0.21457586823490565,0.16419829558796498,0.2753183306018341
54,0.22524775023727428,0.17202825631678936,0.2891810983299158
55,0.23629071724452524,0.18015111659722688,0.3034495983608444
56,0.24770198788975223,0.18857017116308167,0.3181070546831626
57,0.2594771126496324,0.1972880006822491,0.33313389997433324
